Month ,Day ,Year,Date,WaterQualitySite,TempF,PrecipitationCurrentDay,pH,Conductivity,DissolvedOxygen,Turbidity,Nitrates,TotalPhosphates
4,21,2016,4/21/2016,West,68,0.29,8,590,7.9,11.1,NA,2.11
4,26,2016,4/26/2016,West,77,0.03,8.2,600,9.4,42,NA,2.11
4,14,2016,4/14/2016,WGP,66,,8,100,7.76,14.2,NA,2.11
4,21,2016,4/21/2016,WGP,68,0.29,7.9,110,4.49,3.2,NA,2.11
4,26,2016,4/26/2016,WGP,77,0.03,7.7,110,6.05,3,NA,2.11
5,3,2016,5/3/2016,NEGP,66,0,7.9,115,5.65,5,NA,2.11
5,10,2016,5/10/2016,NEGP,82,0.62,7.6,120,5.07,4.1,NA,2.11
5,3,2016,5/3/2016,North,66,0,8.1,520,10,nv,8.8,0.02
5,3,2016,5/3/2016,North,66,0,8.3,510,7.78,14,NA,2.11
5,5,2016,5/5/2016,North,80,0,8.1,590,9,nv,7.92,0.52
5,10,2016,5/10/2016,North,82,0.62,7.6,230,5.97,1,NA,2.11
5,11,2016,5/11/2016,North,71,0.34,7.8,330,8,nv,1.76,0.9
5,17,2016,5/17/2016,North,70,0.39,8,418,10,nv,NA,2.11
5,3,2016,5/3/2016,West,66,0,8.2,510,10,nv,2.86,0.6
5,3,2016,5/3/2016,West,66,0,8.1,390,9.44,11,NA,2.11
5,5,2016,5/5/2016,West,80,0,8.1,600,5,nv,1.32,0.54
5,10,2016,5/10/2016,West,82,0.62,8,210,6.04,1.6,NA,2.11
5,3,2016,5/3/2016,WGP,66,0,7.8,120,6.7,4,NA,2.11
5,10,2016,5/10/2016,WGP,82,0.62,7.7,130,3.08,4,NA,2.11
6,10,2016,6/10/2016,NEGP,95,0,7.2,130,4.79,8,NA,2.11
6,16,2016,6/16/2016,NEGP,100,0,7.6,140,3.95,6,NA,2.11
6,10,2016,6/10/2016,North,95,0,7.9,418,6.2,12,NA,2.11
6,16,2016,6/16/2016,North,100,0,8.2,630,10.1,20,NA,2.11
6,10,2016,6/10/2016,West,95,0,8.1,418,6.61,11,NA,2.11
6,16,2016,6/16/2016,West,100,0,8.4,630,9.65,18,NA,2.11
6,10,2016,6/10/2016,WGP,95,0,7.5,130,4.89,7,NA,2.11
6,16,2016,6/16/2016,WGP,100,0,8.1,140,8.7,6.5,NA,2.11
7,9,2016,7/9/2016,NEGP,92,0,7.8,140,6.04,6,NA,2.11
7,21,2016,7/21/2016,NEGP,100,0,7.8,140,5.67,5,NA,2.11
7,9,2016,7/9/2016,North,92,0,8.3,600,8.43,16,NA,2.11
7,21,2016,7/21/2016,North,100,0,8,418,8.7,nv,4.4,0.7
1,26,2017,1/26/2017,North,38,0,8.1,510,8,37.7,3.432,0.94
1,27,2017,1/27/2017,North,38,0,8,550,17,43,2.2,2.7
1,26,2017,1/26/2017,West,35,0,8.2,510,11,20,4.4,0.94
1,27,2017,1/27/2017,West,35,0,7.9,535,12,14.5,4.048,2.1
2,15,2017,2/15/2017,North,45,0,8.5,540,15,83.5,2.64,1.4
2,16,2017,2/16/2017,North,70,0,8.6,570,16,110.9,1.32,1.4
2,15,2017,2/15/2017,West,47,0,8.7,590,14.5,44,0.44,1.5
2,16,2017,2/16/2017,West,62.5,0,8.9,197,16,38.1,0.352,1.5
3,28,2017,3/28/2017,North,56,0,8.5,630,11,105.3,0.924,2.2
3,31,2017,3/31/2017,North,58,0,8,290,10.9,3.2,3.96,2.11
3,28,2017,3/28/2017,West,52,0,9,630,19,91.3,0.05,2.2
3,31,2017,3/31/2017,West,58,0,7.5,270,10.9,3.2,1.76,17
4,4,2017,4/4/2017,North,48,0.2,8,550,16,9.1,NA,2.11
4,4,2017,4/4/2017,West,58,0.2,8.5,545,10,25.5,NA,2.11
5,3,2017,5/3/2017,North,67,0,7.43,415,8.68,6.74,19.8,3.49
5,9,2017,5/9/2017,North,79.5,0.36,7.3,480,7,12,4.4,3.1
5,10,2017,5/10/2017,North,66,0.16,6.8,470,6.4,7.7,44,3.25
5,11,2017,5/11/2017,North,74,0.02,7.4,520,9,8,4.4,3.5
5,23,2017,5/23/2017,North,62,0.17,7.8,370,7.2,0,NA,2.11
5,9,2017,5/9/2017,West,77,0.36,6,500,7,9.2,2.2,4
7,21,2016,7/21/2016,North,100,0,8.2,680,4.82,12,NA,2.11
7,9,2016,7/9/2016,West,92,0,8.5,650,8.47,13,NA,2.11
7,21,2016,7/21/2016,West,100,0,7.9,670,6.07,15,NA,2.11
7,9,2016,7/9/2016,WGP,92,0,8.3,140,5.64,8,NA,2.11
7,21,2016,7/21/2016,WGP,100,0,7.9,140,4.73,5.8,NA,2.11
8,5,2016,8/5/2016,NEGP,81,0.17,7.9,140,3.7,5.2,NA,2.11
8,26,2016,8/26/2016,NEGP,87,0.02,8,140,5.8,4,NA,2.11
8,5,2016,8/5/2016,North,81,0.17,8.4,530,6.49,10,NA,2.11
8,26,2016,8/26/2016,North,87,0.02,8.1,310,8.72,7.6,NA,2.11
8,5,2016,8/5/2016,West,81,0.17,8.2,490,7.34,9.5,NA,2.11
8,26,2016,8/26/2016,West,87,0.02,8.2,310,8.86,5.4,NA,2.11
8,5,2016,8/5/2016,WGP,81,0.17,7.8,150,4.32,5.6,NA,2.11
8,26,2016,8/26/2016,WGP,87,0.02,8,140,5.8,3.6,NA,2.11
9,6,2016,9/6/2016,NEGP,82,0,8,140,10.8,6.1,NA,2.11
9,15,2016,9/15/2016,NEGP,86,0.05,8,418,8.7,nv,NA,2.11
9,29,2016,9/29/2016,NEGP,70,0,7.7,150,7.93,7,NA,2.11
9,2,2016,9/2/2016,North,80,0,8.2,440,8.45,11,NA,2.11
9,6,2016,9/6/2016,North,82,0,8,470,9.76,5,1.056,2.11
9,10,2016,9/10/2016,North,88,0.29,7.8,535,5.575,9.75,NA,2.11
9,14,2016,9/14/2016,North,61,0,7.09,450,7,nv,0.496,0.74
9,20,2016,9/20/2016,North,91,0,7.2,540,7,17,NA,2.11
9,20,2016,9/20/2016,North,91,0,7.2,540,7,17,NA,2.11
9,29,2016,9/29/2016,North,70,0,7.1,580,7.29,35,NA,2.11
9,6,2016,9/6/2016,West,82,0,7.8,480,8.43,11,NA,2.11
9,14,2016,9/14/2016,West,62,0,6.9,440,7,nv,0.528,0.84
9,15,2016,9/15/2016,West,86,0.05,8,418,8.7,nv,NA,2.11
9,20,2016,9/20/2016,West,90,0,8.3,530,6,31.7,NA,2.11
9,20,2016,9/20/2016,West,91,0,8.4,530,6,30.8,NA,2.11
9,29,2016,9/29/2016,West,70,0,7.1,580,10.76,47,NA,2.11
9,6,2016,9/6/2016,WGP,82,0,8.2,140,10.84,5.1,1.056,2.11
9,15,2016,9/15/2016,WGP,86,0.05,8,418,8.7,nv,NA,2.11
9,29,2016,9/29/2016,WGP,70,0,7.1,160,2.54,13,NA,2.11
10,1,2016,10/1/2016,North,59,0,7.8,610,7,nv,3.75,0.7
10,11,2016,10/11/2016,North,64,0.5,7.8,540,10.44,21.8,0.22,1.75
10,12,2016,10/12/2016,North,42,0,7.5,460,10,15.1,2.992,0.64
5,10,2017,5/10/2017,West,76,0,7.3,197,8.7,8,NA,2.11
5,11,2017,5/11/2017,West,74,0.02,8,530,12,15.25,3.696,4
9,19,2017,9/19/2017,North,90,0,7.8,440,4,8,1.76,1
9,21,2017,9/21/2017,North,91,0,7.9,440,7,9,2.864,3.7
9,19,2017,9/19/2017,West,94,0.25,7.7,197,6,0,0.44,4.5
9,21,2017,9/21/2017,West,91,0,7,440,8,2.5,0.44,2.7
10,16,2017,10/16/2017,North,72,0,7.9,480,10,12.3,NA,4.3
10,31,2017,10/31/2017,North,34,0,8.3,640,8,36.5,3.74,3.4
10,13,2017,10/13/2017,West,70,0,8,430,10,6.7,0.748,3.4
10,13,2017,10/13/2017,West,63,0,7.4,197,7,10.1,NA,3.65
10,16,2017,10/16/2017,West,79,0,7.5,480,12,21,NA,4
10,31,2017,10/31/2017,West,34,0,8,197,7,42.6,NA,2.11
11,2,2017,11/2/2017,North,58,0,8.1,620,11,39.7,0.176,3.5
11,8,2017,11/8/2017,North,44,0,8.1,660,13,61.7,0,3.3
11,2,2017,11/2/2017,West,58,0,7.4,570,12,53.3,0.66,3.2
11,8,2017,11/8/2017,West,54,0,7.8,650,8,36.8,0,2.11
12,5,2017,12/5/2017,North,50,0,8.4,690,14,52,0.02,3
12,6,2017,12/6/2017,North,42,0,7.3,600,14,74.4,0.84,3
12,5,2017,12/5/2017,West,46,0,8.2,680,13,43.05,0.5,3.5
12,6,2017,12/6/2017,West,45,0,6.4,660,15,18,0.06,4.5
10,13,2016,10/13/2016,North,62,0,8,550,10,16,1.98,0.7
10,12,2016,10/12/2016,West,50,0,7.8,537,10,31.75,0.792,0.6
10,13,2016,10/13/2016,West,50,0,8,580,11,33.5,1.14,0.62
11,1,2016,11/1/2016,North,75,0,7.5,609,7,30.7,0,0.8
11,3,2016,11/3/2016,North,78,0,8,540,5,41.95,1.32,5
11,10,2016,11/10/2016,North,72,0,7.9,650,7.6,75,NA,2.11
11,15,2016,11/15/2016,North,59,0,8.1,780,8,28.5,0,4.4
11,1,2016,11/1/2016,West,75,0,8,620,10,75,NA,1
11,3,2016,11/3/2016,West,72,0,8.4,620,9,52.8,0.88,4
11,10,2016,11/10/2016,West,72,0,8,650,11.08,90,NA,2.11
11,11,2016,11/11/2016,West,55,0,8.1,650,11.54,85.4,NA,2.11
12,2,2016,12/2/2016,North,40,0,8,690,14.2,66.1,3.08,2.11
12,6,2016,12/6/2016,North,38,0,8.2,700,9,79.4,0.836,2
12,2,2016,12/2/2016,West,44,0,8.3,418,11,10.5,3.08,2.11
12,6,2016,12/6/2016,West,38,0,8.2,680,6,71,2.2,1.6
